feature_usage_id,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
1,U-1c6c24,S-0fcf7d,2023-07-27,feature_20,9,5004,0,False
2,U-f07cb8,S-c25263,2023-08-07,feature_5,9,369,0,False
3,U-096807,S-f29e7f,2023-12-07,feature_3,9,1458,0,False
4,U-6b1580,S-be655e,2024-07-28,feature_40,5,2085,0,False
5,U-720a29,S-f9b1d0,2024-12-02,feature_12,12,900,0,False
6,U-c5692d,S-e958ba,2023-10-31,feature_14,11,4103,0,False
7,U-7078db,S-0c9fdd,2023-09-20,feature_34,8,2016,2,False
8,U-a60033,S-4e4ab7,2023-06-05,feature_27,10,5470,0,False
9,U-5cd930,S-a3a1c1,2024-02-20,feature_18,9,5067,1,False
10,U-ebb375,S-9e450b,2023-02-09,feature_28,6,2778,0,False
11,U-a7c89a,S-3673f2,2024-08-25,feature_36,9,2061,0,False
12,U-779058,S-afed2d,2023-11-03,feature_35,10,5200,0,True
13,U-f65bba,S-3dc46b,2024-07-14,feature_20,5,930,1,False
14,U-4de1d3,S-e2799b,2023-08-22,feature_25,8,2480,0,False
15,U-935818,S-9ce22d,2023-05-22,feature_35,17,901,0,False
16,U-0286e4,S-4dae4f,2023-12-09,feature_4,10,4610,0,False
17,U-99f042,S-5272ff,2023-10-11,feature_4,12,4884,2,False
18,U-a66f10,S-e3dff3,2024-04-04,feature_40,14,4872,0,False
19,U-805be4,S-c23126,2023-03-23,feature_24,5,2055,3,False
20,U-138675,S-813cdc,2023-07-30,feature_37,5,960,0,False
21,U-77404d,S-6c969d,2024-08-31,feature_3,9,5022,0,False
22,U-80c1c1,S-dacc80,2023-11-29,feature_7,9,432,0,False
23,U-25b56c,S-810c27,2024-10-06,feature_20,7,231,0,False
24,U-184e0c,S-fcb954,2023-04-15,feature_15,8,856,0,False
25,U-97d46f,S-d111f5,2023-04-13,feature_30,10,5240,0,False
26,U-782016,S-1b4693,2023-04-08,feature_39,8,192,1,False
27,U-d7cb11,S-7d9605,2023-12-03,feature_19,13,5980,0,False
28,U-0ae9d5,S-6ce794,2023-02-25,feature_12,8,1416,1,False
29,U-0aff2c,S-041624,2024-02-20,feature_40,9,3456,2,False
30,U-093baa,S-7dab19,2023-11-19,feature_18,6,540,2,False
31,U-7fbb0f,S-b3071c,2023-01-01,feature_6,11,1573,0,False
32,U-e5999c,S-de9b4b,2024-03-24,feature_21,9,5256,0,False
33,U-a5433e,S-f0081e,2023-03-02,feature_1,14,2324,1,False
34,U-54d795,S-0c47cb,2024-12-17,feature_4,14,1190,0,True
35,U-4ccaa4,S-5d5a8d,2023-04-24,feature_22,6,1344,0,False
36,U-492e99,S-567afa,2023-12-22,feature_38,9,2430,0,False
37,U-ed08bd,S-6c7bd8,2024-10-10,feature_40,7,2464,0,False
38,U-ba2bf3,S-8b52b5,2024-03-24,feature_19,9,441,0,False
39,U-4978ea,S-3947da,2023-04-13,feature_29,5,1000,1,True
40,U-7f9bc8,S-1ad713,2024-04-19,feature_39,14,7952,0,True
41,U-624d96,S-049328,2023-12-29,feature_38,7,2653,0,True
42,U-d652f1,S-64acb8,2023-08-25,feature_5,10,540,0,False
43,U-e860b8,S-6c969d,2024-02-07,feature_19,7,1582,0,True
44,U-804bf8,S-8c9649,2023-01-13,feature_14,5,2985,0,False
45,U-d2e9b7,S-c2168a,2023-01-04,feature_18,6,2166,1,False
46,U-9a5f52,S-0283b5,2023-02-02,feature_14,6,2658,0,False
47,U-a6a7c7,S-1bf267,2024-06-02,feature_40,9,2664,1,False
48,U-3e5e83,S-a37653,2023-03-15,feature_35,14,4368,0,False
49,U-708d27,S-ec690c,2023-08-15,feature_22,8,1464,2,True
50,U-0abd90,S-de7a48,2024-01-03,feature_23,7,1778,0,False
51,U-7d32fc,S-e7e4bd,2024-12-03,feature_37,8,2824,0,False
52,U-b095d6,S-31428b,2023-02-16,feature_24,6,2412,0,True
53,U-ba50ee,S-51924b,2023-02-04,feature_4,12,5064,0,False
54,U-aac036,S-10fc7d,2024-08-06,feature_37,12,216,0,False
55,U-9df047,S-eea643,2024-02-12,feature_37,12,5316,0,False
56,U-029a51,S-8c118d,2023-03-02,feature_5,6,3384,1,False
57,U-680b9d,S-e702a4,2024-03-25,feature_31,11,3014,0,False
58,U-1314b8,S-ef2a21,2024-12-13,feature_16,6,2970,3,False
59,U-46c99c,S-01bbff,2023-10-01,feature_9,14,3192,0,False
60,U-e580fe,S-3673f2,2024-08-06,feature_19,9,2871,0,False
61,U-50e5b9,S-c1f8e1,2024-12-16,feature_24,10,2350,1,False
62,U-83a6c5,S-431c03,2023-01-03,feature_26,13,6591,0,False
63,U-545d0c,S-58ab69,2024-01-22,feature_11,13,4511,0,False
